Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,Month,Calendar_Year
200597AB03109,258790,665600,-4.257925,55.862878,97,3,1,1,21/09/2005,4,17:50:00,926,S12000043,6,0,2,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,,9,2005
200597AB03207,258680,665160,-4.259452,55.858895,97,3,1,1,21/07/2005,5,21:15:00,926,S12000043,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,,7,2005
200597AB03208,259100,664730,-4.252524,55.855157,97,3,2,1,16/08/2005,3,11:45:00,926,S12000043,6,0,3,30,3,2,6,0,0,4,1,1,1,4,0,1,1,,8,2005
200597AB03210,259490,664940,-4.246407,55.857157,97,3,1,1,18/10/2005,3,17:20:00,926,S12000043,6,0,6,30,6,4,6,0,0,0,1,1,1,0,0,1,1,,10,2005
200597AB03211,258780,665570,-4.258069,55.862605,97,3,2,1,14/11/2005,2,13:10:00,926,S12000043,6,0,2,30,6,4,6,0,0,5,1,1,1,0,0,1,2,,11,2005
200597AB03212,258850,665640,-4.256988,55.863254,97,3,1,1,12/12/2005,2,15:31:00,926,S12000043,6,0,2,30,0,-1,-1,0,0,5,1,1,1,0,0,1,2,,12,2005
200597AB03307,258840,665330,-4.256986,55.860468,97,3,1,1,22/07/2005,6,22:00:00,926,S12000043,6,0,2,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,,7,2005
200597AB03310,259260,664810,-4.250011,55.855922,97,2,1,1,08/10/2005,7,21:10:00,926,S12000043,6,0,3,30,3,2,6,0,0,1,4,1,1,0,0,1,1,,10,2005
200597AB03407,258840,665100,-4.256866,55.858403,97,3,1,1,23/07/2005,7,21:30:00,926,S12000043,6,0,2,30,6,2,6,0,0,4,1,1,1,0,0,1,2,,7,2005
200597AB03408,259170,664590,-4.251334,55.853921,97,3,1,1,16/08/2005,3,14:30:00,926,S12000043,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,2,2,,8,2005
200597AB03409,259340,665150,-4.248911,55.858998,97,3,2,1,22/09/2005,5,23:00:00,926,S12000043,6,0,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,2,,9,2005
200597AB03502,259280,665450,-4.250024,55.861674,97,3,1,1,24/02/2005,5,21:00:00,926,S12000043,6,0,3,30,0,-1,-1,0,0,4,4,1,1,0,0,1,1,,2,2005
200597AB03503,258850,665400,-4.256863,55.8611,97,3,1,2,22/03/2005,3,17:20:00,926,S12000043,6,0,2,30,3,4,6,0,0,4,1,1,1,0,0,1,1,,3,2005
200597AB03505,258840,665720,-4.257189,55.86397,97,3,1,1,26/05/2005,5,07:55:00,926,S12000043,6,0,2,30,7,4,6,0,0,5,1,1,1,0,0,1,1,,5,2005
200597AB03509,258840,665350,-4.256996,55.860648,97,3,1,1,26/09/2005,2,14:45:00,926,S12000043,6,0,2,30,6,2,6,0,0,4,1,2,2,0,0,1,1,,9,2005
200597AB03512,258650,664950,-4.259821,55.857001,97,3,2,1,14/12/2005,4,14:30:00,926,S12000043,3,77,2,30,0,-1,-1,0,0,5,1,1,2,0,0,1,1,,12,2005
200597AB03608,287360,660020,-3.79938,55.820292,97,3,1,2,17/08/2005,4,21:00:00,926,S12000043,6,0,2,30,3,4,6,0,0,0,4,2,2,0,0,2,1,,8,2005
200597AB03609,258840,665150,-4.256892,55.858852,97,3,2,1,15/09/2005,5,23:45:00,926,S12000043,6,0,2,30,7,4,6,0,0,4,4,9,2,0,0,1,2,,9,2005
